State,District,"Dealer Name","Dealer Address","Contact Person","Mobile Number","Email ID"
"Andhra Pradesh",Guntur,"Airavath interiors","opp .ST.Anns college for women,Amaravathi Road,Gorantla,Guntur-522034",Pavan,9010100212,airavatinteriors22@gmail.com
"Andhra Pradesh","West Godavari","Sree Gruha Innovations"," D.no. 2-42-50/1.Ground floor,Opp Raithu Bazzar,ILTDjunction,Rajahmundry,Eastgodavari,Andhrapradesh .pincode-533101","E. V. S.Anjaneyulu.",9440219449,sreegruha2017@gmail.com
TELANGANA,Hyderabad,"Hari Hara Enterprises","The pinnacle Building, 3rd floor above Co Canada Kitchens, oppo. Euro School, Gachibowli- HYD- 500032, Telangana","Narender ",9059048480,Harihara.enterprises2020@Gmail.com
Chhattisgarh,Raipur,"GULATI MINERALS","207,208, National Corporate park, GE Road, Near Anupam Garden, Raipur, CG, 492001.",,9589900456,gulatiminerals@gmail.com
Chhattisgarh,Bhilai,"AP Commodity space Pvt Ltd","52, Nehru Nagar Main Rd, Nehru Nagar East, old, Bhilai, Chhattisgarh, 490020","Arijit Sengupta",7999934587,
Haryana,Bhiwani,"Balaji Building Home Solutions","Bawri Gate, Circular Road, Bhiwani - 127021","Ramesh Kumar",8950084858,bhbsbhiwani@gmail.com
Kerala,Thiruvananthapuram,"TATA Pravesh Steel Doors (DOORS &amp; MORE)","ST. MARY'S MALANKARA BUILDING, PALAYAM, THIRUVANANTHAPURAM - 695034","Renjith K M",8893620986,doorsandmoretrivandrum@gmail.com
"Andhra Pradesh",Guntur,"Bhavani Steels","SRI BHAVANI STEEL CORPORATION DACHEPALLI GUNTUR DT. 522414","Bhavani krishna",9490640027,
"Andhra Pradesh",Guntur,"Elegant MKT Private Limited","Plot No. 142, Industrial Estate, APIIC, Auto Nagar, Mangalagiri, Guntur Dist., Andhra Pradesh - 522503.","Mr. Kiran",9959888684,kiran@elegantproducts.net
"Andhra Pradesh",Krishna,"Vijaya saradhi Steels","Plot no 41,Iron complex,Bhavani puram  vijayawada -12 Ajith Singh Nagar, Paipula Road Center, Vijayawada Dist., Andhrapradesh","Srikanth Rao",9515711814/9849082750,Vijayasaradhisteels@gmail.com
"Andhra Pradesh",krishna,"More Traders ","GROUND FLOOR, 10/32 , GOWRISANKARA PURAM , GUDIVADA, Krishna Dist , 521301","Srivasa ",9849085005,moretradersgdv@gmail.com
"Andhra Pradesh",Prakasham,Akruthi,"RATNA COMPLEX, SHOP NO 2, , SOUTH BYPASS ROAD, ONGOLE, Prakasam, Andhra Pradesh, 523001.",Srikanth,8309465445,akrutiinteriors79@gmail.com
"Andhra Pradesh",Prakasham,"USHA Enterprises "," Bhavani center Addanki, Prakasam Dist., AP -523201. ",Keerthi,"77889 9115",usha6663@gmail.com
"Andhra Pradesh",Narspuram,"Sri Guru Enterprises ","22/10/29 UpStairs thatavarthi vari street, bhimavaram, A.P, West Godavari-534201. ","Appa Rao",9052542367,apparao.sriguruenterprises@gmail.com
Rajasthan,Jaipur,"Tirupati Vinyl India Pvt. Ltd.","S-3, Usha Plaza, 3rd Floor, Opposite All India Radio, M.I Road, Jaipur - 302001",,,
"Andhra Pradesh",Nellore,"Apex products","Pardhasaradhinagar  plot no 2 Muthukur Road, near narayana hospital,  Nellore, Sripottisriramulu  Dist., Andhra Pradesh - 524004.","Mr. Kiran",9959888684,apexproducts07@gmail.com
"Andhra Pradesh",Ananthapur,"Jonna Iron Mart","Plot No: 108, Jonna Veeraiah Colony , Kalyanadurgam Road, Anantapur-515001","Mr. Suresh","9849589165, 9963315599",jonnaatp1234@gmail.con
"Andhra Pradesh",Ananthapur,"Sri Lakshmi Ranga Sanitary","15-55,Gandhi chuik ,guntakal-515801",Mr.Bhaskar,9849699992,bhaskararangaiah1@gmail.com
"Andhra Pradesh",Ananthapur,"Heshritha enterprises","Paragi Road OPP KANCHI kamakshi kalyana mandapam Hindupur Anantha pur","MR  Swamy ",7989768388,swamyatp230@gmail.com
"Andhra Pradesh",Ananthapur,"Vinayaka Traders","4/189-1, Shiva Nagar,Dharmavaram,Ananatapur(Dt),AP-515671","Mr.Bukkachirla Narasimha Reddy","8309499946, 9866069874",bnrdmm78@gmail.com
"Andhra Pradesh",Tirupathi,"SLV Timber Importers","887,Srinivasapuram,Renigunta Road,Tirupathi-517501","Mr. Karthik Penumadu",9959967773,karthik.penumadu@gmail.com
"Andhra Pradesh",Chittoor,"SLV Consupps","20-65 Naidu Buildings   OPP BSNL office Near R&amp;B buildings  chitoor Andhrapradesh 517001","Surya narayana",7348802204,slvtimberchitoor@gmail.com
